Latitude,Longitude,City,State
35.1072,-106.654,Albuquerque,New Mexico
42.8441,-78.8254,Buffalo,New York
28.8967,-81.257,Deltona,Florida
45.5343,-122.672,Portland,Oregon
30.0409,-89.9244,New Orleans,Louisiana
45.3519,-91.8886,Barron,Wisconsin
33.5701,-86.7793,Birmingham,Alabama
41.674,-85.9725,Elkhart,Indiana
40.028,-82.9818,Columbus,Ohio
42.5957,-89.6458,Monroe,Wisconsin
34.031,-81.1063,Columbia,South Carolina
47.5291,-122.026,Issaquah,Washington
33.8629,-84.1358,Lilburn,Georgia
38.1474,-85.8728,Louisville,Kentucky
31.123,-97.7282,Killeen,Texas
32.1468,-110.935,Tucson,Arizona
41.729,-87.5881,Chicago,Illinois
37.6029,-86.7137,Fordsville,Kentucky
32.3048,-90.2016,Jackson,Mississippi
37.041,-76.3905,Hampton,Virginia
39.721,-121.849,Chico,California
32.3,-90.1857,Jackson,Mississippi
45.5814,-122.393,Camas,Washington
41.4624,-87.1465,Valparaiso,Indiana
41.657,-87.6025,Riverdale,Illinois
32.3503,-90.8734,Vicksburg,Mississippi
29.9189,-90.0836,New Orleans,Louisiana
40.0823,-83.1408,Dublin,Ohio
40.6954,-73.9752,Brooklyn,New York
40.6115,-105.077,Fort Collins,Colorado
43.0559,-74.3391,Gloversville,New York
37.603,-77.5587,Tuckahoe,Virginia
40.6984,-73.9325,Brooklyn,New York
42.2817,-71.0866,Boston,Massachusetts
40.1399,-82.4272,Newark,Ohio
41.7292,-71.2651,Warren,Rhode Island
35.4144,-77.4357,Ayden,North Carolina
38.0946,-81.8377,Danville,West Virginia
43.0671,-89.5051,Madison,Wisconsin
40.8892,-74.2164,Woodland Park,New Jersey
33.9355,-84.0346,Lawrenceville,Georgia
40.5891,-75.4735,Allentown,Pennsylvania
33.4701,-86.8175,Birmingham,Alabama
40.1876,-111.649,Springville,Utah
38.5895,-90.2298,St. Louis,Missouri
40.4128,-79.8826,Rankin,Pennsylvania
39.3612,-76.6099,Baltimore,Maryland
41.6905,-87.6354,Chicago,Illinois
26.5896,-81.7099,Lehigh Acres,Florida
39.6361,-106.524,Avon,Colorado
47.8239,-122.293,Lynnwood,Washington
38.3213,-81.5517,Charleston,West Virginia
34.0944,-78.7425,Tabor City,North Carolina
36.1449,-86.8791,Nashville,Tennessee
26.2198,-80.2342,North Lauderdale,Florida
41.2627,-81.3928,Hudson,Ohio
32.5181,-95.1306,Winona,Texas
38.3646,-76.4249,Lusby,Maryland
48.2074,-101.307,Minot,North Dakota
38.6725,-104.704,Fountain,Colorado
41.8715,-87.9455,Elmhurst,Illinois
43.0379,-76.1657,Syracuse,New York
35.3741,-93.0605,Dover,Arkansas
39.7599,-86.1117,Indianapolis,Indiana
33.8438,-79.061,Conway,South Carolina
28.5205,-81.3021,Orlando,Florida
33.4333,-86.9285,Birmingham,Alabama
39.7797,-86.1876,Indianapolis,Indiana
35.3256,-119.022,Bakersfield,California
41.2184,-111.962,Ogden,Utah
42.9098,-78.8083,Buffalo,New York
33.3473,-87.0229,Bessemer,Alabama
58.3978,-134.575,Juneau,Alaska
41.4665,-81.5957,Cleveland,Ohio
35.2405,-89.8669,Memphis,Tennessee
30.8387,-83.2768,Valdosta,Georgia
41.4843,-81.5911,Cleveland,Ohio
40.2498,-75.6433,Pottstown,Pennsylvania
39.404,-76.5477,Parkville,Maryland
29.8886,-95.6428,Houston,Texas
41.4372,-82.1745,Lorain,Ohio
41.7494,-87.6039,Chicago,Illinois
33.5821,-112.238,Peoria,Arizona
43.073,-83.7115,Flint,Michigan
40.1128,-88.2852,Champaign,Illinois
42.098,-86.4465,Benton Harbor,Michigan
39.8218,-86.2328,Indianapolis,Indiana
34.0853,-117.301,San Bernardino,California
60.5588,-151.237,Kenai,Alaska
41.7579,-72.687,Hartford,Connecticut
46.8604,-96.8756,West Fargo,North Dakota
47.6566,-117.292,Spokane Valley,Washington
35.0252,-89.8648,Memphis,Tennessee
44.9414,-74.8022,Massena,New York
36.092,-95.9639,Tulsa,Oklahoma
37.8586,-122.273,Berkeley,California
31.4597,-97.1955,Hewitt,Texas
29.3812,-98.4756,San Antonio,Texas
43.1694,-78.6943,Lockport,New York
39.8727,-104.86,Commerce City,Colorado
35.6087,-90.3228,Lepanto,Arkansas
27.9804,-80.6606,Palm Bay,Florida
34.6816,-118.243,Lancaster,California
41.3838,-79.8647,Franklin,Pennsylvania
32.5077,-93.7592,Shreveport,Louisiana
41.8138,-87.6715,Chicago,Illinois
37.9543,-121.241,Stockton,California
29.7091,-95.4949,Houston,Texas
41.8508,-87.7252,Chicago,Illinois
48.2084,-101.296,Minot,North Dakota
39.9676,-79.8767,Republic,Pennsylvania
41.7275,-87.607,Chicago,Illinois
41.6955,-70.7731,Marion,Massachusetts
41.2783,-75.8567,Wilkes-Barre,Pennsylvania
39.106,-84.571,Cincinnati,Ohio
39.6403,-78.8271,La Vale,Maryland
34.9493,-81.9992,Spartanburg,South Carolina
34.717,-79.2075,Pembroke,North Carolina
41.5852,-93.6205,Des Moines,Iowa
41.74,-122.631,Yreka,California
32.5463,-93.8434,Shreveport,Louisiana
29.9413,-90.0853,New Orleans,Louisiana
47.5756,-122.334,Seattle,Washington
33.4539,-112.122,Phoenix,Arizona
35.8593,-86.3652,Murfreesboro,Tennessee
38.911,-77.0201,Washington,District of Columbia
30.3197,-86.1328,Santa Rosa Beach,Florida
41.6154,-70.9151,New Bedford,Massachusetts
39.985,-76.8438,Dover,Pennsylvania
48.7012,-104.428,Antelope,Montana
41.8263,-71.4598,Providence,Rhode Island
47.613,-122.319,Seattle,Washington
33.5657,-86.8964,Forestdale,Alabama
26.9642,-82.3513,Englewood,Florida
35.0472,-90.0822,Memphis,Tennessee
38.2708,-89.8249,Lenzburg,Illinois
37.0478,-113.576,St. George,Utah
42.2865,-89.1324,Rockford,Illinois
41.139,-81.8514,Medina,Ohio
32.4963,-93.738,Shreveport,Louisiana
30.4173,-87.273,Pensacola,Florida
30.5766,-85.7436,Vernon,Florida
28.2389,-82.7276,New Port Richey,Florida
32.4946,-84.9797,Columbus,Georgia
38.9072,-77.024,Washington,District of Columbia
39.8252,-85.9825,Indianapolis,Indiana
45.0,-123.027,Keizer,Oregon
38.0663,-85.3567,Taylorsville,Kentucky
30.0467,-89.9592,New Orleans,Louisiana
43.6841,-85.4834,Big Rapids,Michigan
39.9036,-75.1009,Camden,New Jersey
36.7395,-119.763,Fresno,California
37.7721,-122.192,Oakland,California
41.4062,-81.5273,Bedford,Ohio
39.8628,-84.9264,Richmond,Indiana
36.8925,-76.2448,Norfolk,Virginia
34.2403,-77.9189,Wilmington,North Carolina
42.3442,-71.5618,Marlborough,Massachusetts
39.7612,-75.5344,Wilmington,Delaware
30.5364,-96.2346,College Station,Texas
41.118,-80.6484,Youngstown,Ohio
32.3563,-111.095,Tucson,Arizona
32.1351,-98.0211,Hico,Texas
40.9048,-74.1458,Paterson,New Jersey
32.5579,-84.8982,Columbus,Georgia
34.105,-117.768,La Verne,California
34.9902,-81.9676,Spartanburg,South Carolina
42.6651,-73.765,Albany,New York
40.6977,-111.886,South Salt Lake,Utah
37.2955,-92.2692,Graff,Missouri
30.7489,-89.8638,Bogalusa,Louisiana
39.4382,-75.2301,Bridgeton,New Jersey
35.6618,-81.9732,Marion,North Carolina
36.3019,-86.4946,Mt. Juliet,Tennessee
40.6976,-78.1433,Tyrone,Pennsylvania
33.5975,-86.6442,Birmingham,Alabama
30.3788,-89.3574,Diamondhead,Mississippi
42.328,-71.0695,Boston,Massachusetts
42.6355,-71.3291,Lowell,Massachusetts
29.4818,-98.2712,Schertz,Texas
37.5529,-77.4443,Richmond,Virginia
25.9051,-80.2246,Miami,Florida
42.0941,-71.0194,Brockton,Massachusetts
43.0881,-75.2337,Utica,New York
36.6858,-121.608,Salinas,California
32.461,-80.9837,Ridgeland,South Carolina
42.264,-83.7546,Ann Arbor,Michigan
37.8271,-87.0351,Owensboro,Kentucky
41.6579,-91.5346,Iowa City,Iowa
37.8988,-122.325,Richmond,California
46.8199,-95.8452,Detroit Lakes,Minnesota
45.6797,-122.662,Hazel Dell,Washington
26.7067,-80.3017,Loxahatchee,Florida
38.0279,-122.116,Martinez,California
38.4768,-82.6593,Ashland,Kentucky
38.9398,-77.0218,Washington,District of Columbia
43.1943,-77.63,Rochester,New York
38.2692,-104.622,Pueblo,Colorado
40.6028,-75.4812,Allentown,Pennsylvania
34.7712,-92.4523,Little Rock,Arkansas
40.6629,-73.5822,Freeport,New York
38.6301,-90.2105,St. Louis,Missouri
39.1136,-84.5269,Cincinnati,Ohio
35.4869,-105.674,Santa Fe,New Mexico
34.9687,-85.2866,Rossville,Georgia
41.8525,-87.6255,Chicago,Illinois
40.7975,-124.166,Eureka,California
29.4411,-98.53,San Antonio,Texas
26.7548,-80.1087,West Palm Beach,Florida
38.6366,-90.083,East St. Louis,Illinois
37.544,-77.4391,Richmond,Virginia
32.7335,-115.541,Heber,California
40.7143,-74.2109,Newark,New Jersey
44.0684,-92.4893,Rochester,Minnesota
30.7106,-92.3013,Ville Platte,Louisiana
41.5014,-81.7026,Cleveland,Ohio
30.8898,-84.5768,Bainbridge,Georgia
32.0516,-81.1058,Savannah,Georgia
38.6168,-90.2459,St. Louis,Missouri
40.449,-86.043,Kokomo,Indiana
38.676,-90.2692,St. Louis,Missouri
32.8152,-89.4471,Carthage,Mississippi
36.163,-115.088,Las Vegas,Nevada
32.7966,-79.9393,Charleston,South Carolina
39.943,-75.1546,Philadelphia,Pennsylvania
34.4889,-117.21,Apple Valley,California
41.4489,-74.4312,Middletown,New York
35.2402,-89.9803,Memphis,Tennessee
37.9116,-122.319,Richmond,California
29.8105,-95.2019,Houston,Texas
39.3116,-76.6061,Baltimore,Maryland
37.6284,-77.4844,Henrico,Virginia
32.4374,-99.7891,Abilene,Texas
33.8051,-84.1937,Stone Mountain,Georgia
34.1608,-118.376,Los Angeles,California
40.6388,-73.9454,Brooklyn,New York
42.0517,-87.7049,Evanston,Illinois
30.4172,-85.4507,Youngstown,Florida
36.7359,-119.813,Fresno,California
42.4398,-83.0829,Detroit,Michigan
41.7985,-87.7001,Chicago,Illinois
33.5548,-86.8836,Birmingham,Alabama
42.1748,-72.622,Chicopee,Massachusetts
41.9166,-87.7529,Chicago,Illinois
33.7221,-116.229,Indio,California
43.1196,-87.9852,Milwaukee,Wisconsin
41.5599,-81.5852,Cleveland,Ohio
41.4762,-81.751,Cleveland,Ohio
34.6413,-92.3623,Little Rock,Arkansas
36.3075,-81.7515,Zionville,North Carolina
39.5941,-77.8157,Williamsport,Maryland
46.7213,-117.184,Pullman,Washington
34.0591,-118.263,Los Angeles,California
42.9514,-78.9022,Buffalo,New York
38.764,-90.3366,Berkeley,Missouri
40.3267,-78.922,Johnstown,Pennsylvania
33.6976,-117.26,Canyon Lake,California
34.2241,-80.2536,Bishopville,South Carolina
33.9915,-79.2013,Aynor,South Carolina
31.8775,-106.419,El Paso,Texas
29.3314,-98.5012,San Antonio,Texas
37.0763,-76.4722,Newport News,Virginia
38.2276,-85.7768,Louisville,Kentucky
42.4702,-83.3572,Farmington Hills,Michigan
46.5345,-92.6323,Barnum,Minnesota
33.917,-118.077,Norwalk,California
37.0834,-88.6375,Paducah,Kentucky
29.4753,-81.1814,Palm Coast,Florida
42.6599,-73.76,Albany,New York
35.1773,-101.871,Amarillo,Texas
36.9697,-84.6561,Bronston,Kentucky
40.7332,-74.07,Jersey City,New Jersey
43.0204,-76.1462,Syracuse,New York
28.5368,-82.4057,Brooksville,Florida
35.1186,-89.9128,Memphis,Tennessee
32.3342,-95.2855,Tyler,Texas
39.963,-75.1614,Philadelphia,Pennsylvania
41.9174,-87.707,Chicago,Illinois
34.9168,-86.5617,Hazel Green,Alabama
35.0378,-85.2966,Chattanooga,Tennessee
41.8273,-87.6314,Chicago,Illinois
33.9617,-80.9976,Columbia,South Carolina
32.8329,-96.8383,Dallas,Texas
39.0886,-94.476,Independence,Missouri
27.4689,-82.5272,Bradenton,Florida
41.3943,-73.3158,Ridgefield,Connecticut
28.9892,-81.301,DeLand,Florida
39.6049,-110.809,Price,Utah
39.9911,-105.102,Lafayette,Colorado
38.6185,-90.2599,St. Louis,Missouri
41.5103,-81.5702,Cleveland Heights,Ohio
35.9154,-89.8919,Blytheville,Arkansas
43.1046,-87.984,Milwaukee,Wisconsin
37.3368,-121.937,San Jose,California
40.4536,-79.8928,Pittsburgh,Pennsylvania
35.9373,-78.8951,Durham,North Carolina
34.0435,-81.1179,Columbia,South Carolina
36.6983,-121.626,Salinas,California
45.6642,-118.664,Mission,Oregon
34.6148,-85.4893,Cloudland,Georgia
41.8057,-87.7517,Chicago,Illinois
39.6328,-86.1594,Greenwood,Indiana
38.6652,-90.2795,St. Louis,Missouri
41.8641,-87.7081,Chicago,Illinois
41.8761,-87.6864,Chicago,Illinois
47.4687,-122.329,Burien,Washington
37.315,-121.882,San Jose,California
36.569,-79.4151,Danville,Virginia
41.5342,-81.5918,Cleveland,Ohio
41.5576,-87.4989,Munster,Indiana
42.0315,-88.2727,Elgin,Illinois
41.9951,-87.6842,Chicago,Illinois
37.981,-121.686,Oakley,California
39.077,-121.561,Olivehurst,California
40.546,-74.2035,Staten Island,New York
36.0106,-96.092,Sapulpa,Oklahoma
33.9054,-84.564,Marietta,Georgia
47.6323,-122.398,Seattle,Washington
41.8072,-87.6337,Chicago,Illinois
38.4271,-85.1706,New Castle,Kentucky
35.1402,-90.039,Memphis,Tennessee
43.0341,-83.6588,Flint,Michigan
39.2672,-81.5292,Parkersburg,West Virginia
40.6122,-79.1812,Indiana,Pennsylvania
30.266,-97.6952,Austin,Texas
27.4059,-80.3773,Fort Pierce,Florida
36.1374,-96.0073,Tulsa,Oklahoma
47.9282,-97.0856,Grand Forks,North Dakota
34.2247,-91.9849,Pine Bluff,Arkansas
30.7053,-97.7422,Georgetown,Texas
40.5913,-79.7237,New Kensington,Pennsylvania
40.7462,-74.1735,Newark,New Jersey
36.2353,-119.76,Lemoore,California
29.9673,-90.0495,New Orleans,Louisiana
38.717,-75.1013,Rehoboth Beach,Delaware
43.0485,-77.6165,Henrietta,New York
41.6626,-87.6566,Calumet Park,Illinois
42.2821,-89.1184,Rockford,Illinois
43.1378,-72.507,Town of Rockingham,Vermont
29.1887,-82.1438,Ocala,Florida
38.8315,-84.6853,Verona,Kentucky
37.3456,-121.809,San Jose,California
40.1901,-80.2609,Washington,Pennsylvania
39.2175,-85.9096,Columbus,Indiana
27.6816,-80.4267,Vero Beach,Florida
30.4377,-91.1608,Baton Rouge,Louisiana
39.7704,-84.144,Dayton,Ohio
39.3163,-76.6107,Baltimore,Maryland
41.6123,-87.2685,Gary,Indiana
35.1566,-89.9541,Memphis,Tennessee
40.1131,-83.0096,Columbus,Ohio
40.7581,-82.4543,Mansfield,Ohio
34.7239,-92.3329,Little Rock,Arkansas
29.9245,-95.3988,Houston,Texas
39.7976,-121.585,Paradise,California
35.0036,-90.7886,Forrest City,Arkansas
42.4025,-83.1586,Detroit,Michigan
36.1591,-115.192,Las Vegas,Nevada
35.5194,-97.5298,Oklahoma City,Oklahoma
33.7514,-84.7449,Douglasville,Georgia
36.1335,-95.9046,Tulsa,Oklahoma
37.1513,-93.2657,Springfield,Missouri
41.528,-88.0639,Joliet,Illinois
39.8774,-82.8351,Canal Winchester,Ohio
28.2672,-82.709,New Port Richey,Florida
34.0371,-118.357,Los Angeles,California
38.1888,-119.976,Pinecrest,California
34.0542,-83.5579,Jefferson,Georgia
34.816,-86.1209,Scottsboro,Alabama
28.6654,-80.8447,Mims,Florida
27.3006,-80.3038,Port St. Lucie,Florida
39.4225,-77.3928,Frederick,Maryland
30.4659,-91.1289,Baton Rouge,Louisiana
32.3887,-91.7928,Archibald,Louisiana
30.8411,-83.2755,Valdosta,Georgia
35.4644,-97.619,Oklahoma City,Oklahoma
41.5231,-81.6384,Cleveland,Ohio
34.755,-77.4723,Jacksonville,North Carolina
33.6274,-84.3931,Forest Park,Georgia
32.2082,-80.7024,Hilton Head Island,South Carolina
47.9205,-97.0317,Grand Forks,North Dakota
46.2208,-119.101,Pasco,Washington
39.298,-76.6338,Baltimore,Maryland
39.7657,-84.239,Dayton,Ohio
39.2575,-76.5314,Baltimore,Maryland
42.163,-71.0602,Randolph,Massachusetts
32.7907,-83.6689,Macon,Georgia
36.9643,-122.042,Santa Cruz,California
33.6453,-84.1409,Stonecrest,Georgia
39.8144,-86.1204,Indianapolis,Indiana
31.7349,-106.294,El Paso,Texas
39.327,-80.3982,Clarksburg,West Virginia
34.7246,-92.2864,Little Rock,Arkansas
41.7303,-87.5537,Chicago,Illinois
34.0749,-117.132,Mentone,California
42.9551,-78.8988,Buffalo,New York
39.8104,-86.1449,Indianapolis,Indiana
33.5502,-86.7363,Birmingham,Alabama
41.4733,-81.9277,Westlake,Ohio
45.0149,-93.2918,Minneapolis,Minnesota
32.5375,-94.3801,Marshall,Texas
33.8602,-78.6566,North Myrtle Beach,South Carolina
41.8631,-84.4728,Pittsford,Michigan
27.5175,-81.4767,Sebring,Florida
41.6259,-87.7009,Midlothian,Illinois
32.498,-92.133,West Monroe,Louisiana
43.946,-90.8093,Sparta,Wisconsin
44.726,-93.141,Rosemount,Minnesota
47.4758,-121.746,North Bend,Washington
32.366,-86.4409,Montgomery,Alabama
31.4434,-85.6657,Ozark,Alabama
38.6838,-91.4594,Hermann,Missouri
30.4214,-91.1933,Baton Rouge,Louisiana
35.612,-88.8172,Jackson,Tennessee
41.8832,-87.6718,Chicago,Illinois
44.9609,-93.288,Minneapolis,Minnesota
29.641,-95.505,Houston,Texas
41.7689,-87.6546,Chicago,Illinois
32.4772,-93.7789,Shreveport,Louisiana
40.2042,-74.7389,Trenton,New Jersey
28.571,-81.3793,Orlando,Florida
42.9311,-85.6656,Grand Rapids,Michigan
33.6832,-85.8347,Anniston,Alabama
38.7878,-90.5704,St. Peters,Missouri
42.142,-85.9264,Decatur,Michigan
41.7935,-87.706,Chicago,Illinois
29.6174,-95.4745,Houston,Texas
40.0086,-76.3428,Lancaster,Pennsylvania
37.9882,-122.322,Richmond,California
43.6765,-73.7496,Brant Lake,New York
42.9069,-78.8944,Buffalo,New York
37.7689,-122.189,Oakland,California
26.6158,-80.0575,Lake Worth Beach,Florida
42.9893,-71.4496,Manchester,New Hampshire
40.6095,-74.1585,Staten Island,New York
39.2505,-106.292,Leadville,Colorado
39.2991,-76.5807,Baltimore,Maryland
42.4976,-92.327,Waterloo,Iowa
39.8257,-105.013,Denver,Colorado
39.731,-75.5417,Wilmington,Delaware
39.5742,-106.113,Frisco,Colorado
33.4817,-80.8248,Orangeburg,South Carolina
26.184,-81.7109,Naples,Florida
32.2895,-106.74,Las Cruces,New Mexico
42.4075,-70.998,Revere,Massachusetts
35.2497,-80.7423,Charlotte,North Carolina
40.8603,-74.3406,Montville,New Jersey
37.0053,-76.3856,Hampton,Virginia
29.6324,-95.341,Houston,Texas
46.0908,-122.943,Rainier,Oregon
36.2329,-90.0577,Kennett,Missouri
32.5133,-93.7103,Bossier City,Louisiana
37.7027,-113.073,Cedar City,Utah
29.9244,-91.6786,Jeanerette,Louisiana
39.7677,-86.1983,Indianapolis,Indiana
38.4615,-82.693,Ashland,Kentucky
39.8011,-84.243,Dayton,Ohio
30.8374,-83.2881,Valdosta,Georgia
42.7701,-71.1092,Haverhill,Massachusetts
36.1473,-115.167,Las Vegas,Nevada
38.4213,-105.257,Cañon City,Colorado
60.8462,-149.056,Hope,Alaska
41.7688,-88.3245,Aurora,Illinois
30.3002,-89.8177,Slidell,Louisiana
47.4719,-115.797,Mullan,Idaho
42.3358,-71.0712,Boston,Massachusetts
34.6467,-106.345,Manzano,New Mexico
30.9502,-85.4019,Campbellton,Florida
29.6846,-95.5132,Houston,Texas
33.9951,-118.119,Montebello,California
43.197,-89.4518,Waunakee,Wisconsin
33.5644,-94.1826,Texarkana,Texas
39.8792,-83.2115,Grove City,Ohio
34.1344,-117.213,Highland,California
36.09,-95.87,Tulsa,Oklahoma
44.3927,-122.719,Sweet Home,Oregon
36.2698,-79.6037,Reidsville,North Carolina
26.7894,-80.248,West Palm Beach,Florida
41.1211,-87.8358,Kankakee,Illinois
25.9325,-80.2409,Miami Gardens,Florida
41.7094,-72.6459,Wethersfield,Connecticut
38.4992,-81.9098,Winfield,West Virginia
32.2883,-83.2587,Eastman,Georgia
42.6526,-83.2708,Pontiac,Michigan
29.9423,-90.0779,New Orleans,Louisiana
32.9915,-96.867,Dallas,Texas
38.6166,-90.3089,St. Louis,Missouri
34.0726,-118.284,Los Angeles,California
42.9331,-85.6718,Grand Rapids,Michigan
41.3935,-75.6753,Scranton,Pennsylvania
39.4717,-80.1504,Fairmont,West Virginia
34.6484,-78.5972,Elizabethtown,North Carolina
39.2821,-76.8189,Ellicott City,Maryland
41.9892,-87.6558,Chicago,Illinois
26.0017,-80.2937,Pembroke Pines,Florida
40.0337,-75.0338,Philadelphia,Pennsylvania
37.0592,-120.833,Los Banos,California
36.6047,-79.385,Danville,Virginia
40.6927,-73.7586,Queens,New York
28.7957,-81.2905,Sanford,Florida
30.8432,-83.2758,Valdosta,Georgia
39.9855,-75.1365,Philadelphia,Pennsylvania
32.6984,-80.2618,Hollywood,South Carolina
38.6884,-90.1439,Granite City,Illinois
34.5094,-82.6777,Anderson,South Carolina
27.8689,-82.7835,Largo,Florida
42.8992,-78.818,Buffalo,New York
28.0757,-82.4365,Tampa,Florida
30.6691,-88.0765,Mobile,Alabama
41.7585,-71.4445,Cranston,Rhode Island
33.9248,-118.316,Hawthorne,California
32.7831,-96.7876,Dallas,Texas
29.748,-95.7887,Katy,Texas
41.5642,-73.0485,Waterbury,Connecticut
24.5982,-81.6592,Key West,Florida
35.4609,-86.8145,Lewisburg,Tennessee
36.1872,-115.267,Las Vegas,Nevada
33.953,-84.3626,Atlanta,Georgia
38.66,-90.2345,St. Louis,Missouri
41.056,-81.4909,Akron,Ohio
37.0325,-76.3606,Hampton,Virginia
43.0621,-89.3199,Madison,Wisconsin
41.5976,-93.6334,Des Moines,Iowa
41.3944,-82.1092,Elyria,Ohio
35.9124,-77.5392,Tarboro,North Carolina
34.6055,-79.6721,Bennettsville,South Carolina
42.8906,-78.8754,Buffalo,New York
41.8038,-71.4126,Providence,Rhode Island
41.4586,-80.9785,Middlefield,Ohio
35.7967,-78.5309,Raleigh,North Carolina
35.1526,-106.632,Albuquerque,New Mexico
47.2538,-122.332,Milton,Washington
30.6768,-88.0952,Mobile,Alabama
33.7548,-84.486,Atlanta,Georgia
43.0472,-89.3416,Madison,Wisconsin
38.9701,-121.037,Meadow Vista,California
37.113,-89.1984,Mounds,Illinois
45.5192,-122.499,Portland,Oregon
38.3503,-121.994,Vacaville,California
33.9541,-118.04,Whittier,California
33.2684,-84.2829,Griffin,Georgia
33.5272,-86.8252,Birmingham,Alabama
